Id,SalePrice
1461,119797.0
1462,144945.0
1463,169607.0
1464,192811.0
1465,206987.0
1466,167846.0
1467,183673.0
1468,172884.0
1469,205127.0
1470,129514.0
1471,180970.0
1472,103256.0
1473,107027.0
1474,149214.0
1475,128060.0
1476,345281.0
1477,242832.0
1478,341773.0
1479,294696.0
1480,521036.0
1481,318284.0
1482,230513.0
1483,179267.0
1484,177915.0
1485,186653.0
1486,190920.0
1487,326920.0
1488,208463.0
1489,171512.0
1490,227751.0
1491,196191.0
1492,74484.0
1493,210578.0
1494,324659.0
1495,305580.0
1496,237159.0
1497,168580.0
1498,171610.0
1499,170130.0
1500,161037.0
1501,184822.0
1502,151367.0
1503,274337.0
1504,242045.0
1505,212893.0
1506,171910.0
1507,218062.0
1508,212138.0
1509,155347.0
1510,145272.0
1511,141844.0
1512,159463.0
1513,148150.0
1514,144261.0
1515,172121.0
1516,147717.0
1517,162191.0
1518,136550.0
1519,239303.0
1520,135658.0
1521,127876.0
1522,180638.0
1523,107262.0
1524,119314.0
1525,126237.0
1526,112720.0
1527,96509.0
1528,133279.0
1529,152525.0
1530,199741.0
1531,143517.0
1532,79174.0
1533,129680.0
1534,116787.0
1535,169493.0
1536,103707.0
1537,88367.0
1538,148528.0
1539,199654.0
1540,90908.0
1541,144688.0
1542,147603.0
1543,191953.0
1544,89896.0
1545,124214.0
1546,159797.0
1547,145971.0
1548,130629.0
1549,123314.0
1550,135188.0
1551,100557.0
1552,147201.0
1553,142764.0
1554,107464.0
1555,179157.0
1556,111078.0
1557,92630.0
1558,105613.0
1559,102326.0
1560,144460.0
1561,115875.0
1562,140128.0
1563,122876.0
1564,135093.0
1565,153339.0
1566,279493.0
1567,89312.0
1568,228996.0
1569,160211.0
1570,161343.0
1571,132434.0
1572,144744.0
1573,222287.0
1574,124484.0
1575,219582.0
1576,235976.0
1577,191937.0
1578,140493.0
1579,134640.0
1580,207411.0
1581,140378.0
1582,146991.0
1583,255483.0
1584,230250.0
1585,131298.0
1586,65949.0
1587,118734.0
1588,144698.0
1589,99562.0
1590,145055.0
1591,90727.0
1592,126739.0
1593,122148.0
1594,142147.0
1595,95105.0
1596,233839.0
1597,207493.0
1598,223058.0
1599,196937.0
1600,172431.0
1601,85364.0
1602,105361.0
1603,96518.0
1604,267711.0
1605,250046.0
1606,173586.0
1607,168700.0
1608,234583.0
1609,169963.0
1610,149220.0
1611,127805.0
1612,174156.0
1613,171358.0
1614,127217.0
1615,83703.0
1616,72631.0
1617,95191.0
1618,127999.0
1619,151795.0
1620,130030.0
1621,138894.0
1622,142974.0
1623,263714.0
1624,202852.0
1625,110504.0
1626,181451.0
1627,194260.0
1628,303695.0
1629,197481.0
1630,349699.0
1631,231791.0
1632,244566.0
1633,180852.0
1634,177189.0
1635,181115.0
1636,174504.0
1637,182818.0
1638,199823.0
1639,163783.0
1640,246337.0
1641,178368.0
1642,256797.0
1643,230642.0
1644,241284.0
1645,202662.0
1646,172281.0
1647,159115.0
1648,129037.0
1649,147197.0
1650,128752.0
1651,121692.0
1652,107201.0
1653,119006.0
1654,139471.0
1655,139673.0
1656,155752.0
1657,157714.0
1658,152408.0
1659,126558.0
1660,156433.0
1661,476516.0
1662,425033.0
1663,383920.0
1664,495123.0
1665,345662.0
1666,323177.0
1667,392204.0
1668,368513.0
1669,355968.0
1670,354179.0
1671,245270.0
1672,403040.0
1673,318190.0
1674,237943.0
1675,208955.0
1676,204062.0
1677,231042.0
1678,457878.0
1679,421463.0
1680,345718.0
1681,320338.0
1682,310792.0
1683,201690.0
1684,175766.0
1685,182381.0
1686,175944.0
1687,169316.0
1688,194389.0
1689,207456.0
1690,206060.0
1691,197303.0
1692,291615.0
1693,192824.0
1694,186465.0
1695,169715.0
1696,270693.0
1697,186264.0
1698,381847.0
1699,318461.0
1700,261496.0
1701,267538.0
1702,233645.0
1703,245984.0
1704,262333.0
1705,260618.0
1706,439494.0
1707,234611.0
1708,208521.0
1709,287954.0
1710,223234.0
